NEH,M0,I0_0_exp,I0_asmp,i0_t_exp,i0_t_theo,d2ome_k,new_k
18,0.52078,0.5760674883199602,0.22308292424997792,0.4967965760191496,0.46547981936104105,0.0685,0.08876015112688447
16,0.48532,0.4843386444398853,0.2284283457601131,0.44365860660259665,0.43470833503149,0.07314,0.05278494800678548
23,0.45537999999999995,0.4861902689046884,0.154138649139008,0.40677937002363107,0.39170139307029234,0.07916,0.08787073737175562
44,0.29465,0.34087075128856,0.03709295317312843,0.24656927912939677,0.2383919273502728,0.08215,0.12204606490221191
21,0.50917,0.5057777952965329,0.18936956319312795,0.4443784782050164,0.45201557590067565,0.06563,0.0639975330704917
21,0.50917,0.5239313093475905,0.18936956319312795,0.44604423704223123,0.45426287984939084,0.06279,0.08118299554042964
16,0.48845999999999995,0.5109962351514863,0.22990626755539612,0.46359909803840826,0.43706670119296753,0.07387,0.0611054636689275
22,0.48396,0.4958230634648096,0.17171251570371907,0.4294843918179134,0.4200170844066183,0.07638,0.07081847464296374
42,0.30297,0.31388029940938944,0.04190775217753865,0.24748516330717316,0.24388779129952617,0.08553,0.08477561278459167
42,0.30297,0.31295286987970133,0.04190775217753865,0.2552755525963425,0.24048116631856256,0.0912,0.07364439932678818
35,0.28856000000000004,0.3014499935460432,0.055502823832747405,0.23922832003531105,0.23835422632369282,0.08087,0.08899343147462803
26,0.50393,0.5512867544675341,0.14809593839301724,0.46448303762628834,0.44830662087102646,0.05666,0.08131479080373524
24,0.46941000000000005,0.492039641532809,0.15157760681541577,0.4266773912360872,0.4136194449044286,0.06434,0.0685500195473174
24,0.46941000000000005,0.508707611087731,0.15157760681541577,0.43868687010882185,0.4162821250558685,0.06097,0.07343570854785289
20,0.53381,0.5733293497534586,0.20810808959739285,0.46834309870320634,0.4689599281594501,0.07401,0.1074461521379846
25,0.52295,0.5022237737037725,0.16109719878952025,0.4430570336952769,0.44357147891564097,0.08255,0.05450350696062911
35,0.29777000000000003,0.31242401912900075,0.05727431332366646,0.23966973721558688,0.23827705066192217,0.09473,0.10083934410478472
35,0.29777000000000003,0.3081415508101074,0.05727431332366646,0.27687241684840985,0.23564647339691652,0.09961,0.04333984030211252
53,0.16452999999999998,0.16224575433712585,0.013556141059699052,0.1364924557990415,0.13657365096906526,0.06826,0.0568603922976005
14,0.44554000000000005,0.48256295005775485,0.23041899632023732,0.38019062371876583,0.4041817141004569,0.07117,0.15862750822072888
39,0.4363,0.4320317698792558,0.06950957202259239,0.3236824145654435,0.31611032496378877,0.13234,0.09846617854895424
16,0.49498,0.5350546048196797,0.2329750733213978,0.4669761652568193,0.44954063084098095,0.06349,0.08661216212723015
24,0.47853999999999997,0.5474379352460544,0.15452578335665845,0.43825631261913,0.4073558003570951,0.08269,0.11232184373266359
17,0.44305999999999995,0.4548107435409682,0.19894336605351512,0.3902566834395671,0.38151198910403944,0.09684,0.0881464719791177
44,0.30936,0.3375514169740737,0.03894476834766337,0.24558747940958633,0.2432425559610212,0.09346,0.1133613874762821
40,0.29542,0.3069835879804233,0.04489980017560171,0.25406049512976253,0.23732731862643264,0.08794,0.07041759891052979
40,0.29542,0.32333664379321614,0.04489980017560171,0.2729332364830637,0.24240986719562133,0.07925,0.06706499428719732
37,0.43527,0.467891059929665,0.07619525226458815,0.42270781759002035,0.37923093936327634,0.05656,0.04194413802381747
30,0.44541,0.4381496841260654,0.10842098513441968,0.3381961778594471,0.3341037534075652,0.13364,0.09886920330473108
28,0.38281999999999994,0.40579372171892725,0.10239005564047264,0.3263271313887091,0.31813436230542363,0.08741,0.09445804193237582
26,0.32454,0.3293204222058067,0.09537645277334117,0.2772946066916545,0.2710409532734184,0.08862,0.07567494357017002
42,0.32773,0.36449771541443315,0.045332632343614024,0.24616776020122733,0.23678426088593746,0.12956,0.13967310932018168
40,0.27191,0.32681858188165647,0.04132660167134202,0.22007441504529718,0.20695928935596916,0.11028,0.15431028080667714
11,0.5416,0.5574149316696949,0.3226078249588006,0.5026921059263934,0.5047861469896238,0.06135,0.08329494837430677
17,0.43274999999999997,0.4299132815424591,0.19431395670938173,0.3969306198830515,0.3767575617994402,0.08922,0.0461097257000509
25,0.38649,0.39603784400128583,0.11906005614334388,0.38369740632440935,0.3688543213557798,0.02274,0.015381520731389528
39,0.34950000000000003,0.36911858357751026,0.055680942979362914,0.3367402946389889,0.3312791754023565,0.02134,0.03673268537768488
20,0.30178,0.3162851585260744,0.1176502112712411,0.28839930008183096,0.28804037403614835,0.02585,0.05048225065730138
46,0.20555,0.2135397934542465,0.023550095503199888,0.17130186408458942,0.1742749716010204,0.06285,0.07735888559289457
34,0.38896000000000003,0.4318414339417869,0.07842215615957462,0.37011952571591406,0.3552693685712869,0.03828,0.06625269614223424
26,0.34561,0.3796180165064542,0.10156854576629827,0.3188358678152314,0.31371950757487227,0.04668,0.08302161734786795
11,0.52221,0.5522672241794835,0.3110580359522438,0.3915174500237056,0.37139941469333454,0.41752,0.25376632556355033
19,0.4756,0.5133250855272901,0.1943564644942135,0.312537477967142,0.3091345953981601,0.29874,0.2379759676953439
46,0.27954999999999997,0.29225670274649784,0.03202835902660923,0.1085025448086729,0.11197328853315267,0.37672,0.24745871002794328
35,0.19143000000000002,0.21276649523846794,0.03682043792037301,0.09089041766895342,0.0964990073360364,0.31731,0.26276097444034735
20,0.48277000000000003,0.4974189000487705,0.18820992940359557,0.272230862777297,0.2678663750057848,0.43592,0.2548297837466889
20,0.46076,0.4708941826266576,0.17962923767425626,0.2789461867956195,0.25686556499095176,0.43065,0.22759040934437672
15,0.60681,0.6199172809348892,0.2993845759478612,0.5760688003789791,0.5646477743022258,0.04917,0.047543758719267415
9,0.59773,0.6097456461564936,0.3912110104575352,0.588310851262756,0.5709422043095032,0.04631,0.03459697167352612
15,0.57403,0.5880571773921867,0.2832117600753956,0.5523703047818181,0.5376399073006637,0.04456,0.040903982523723924
9,0.5325099999999999,0.545571057178662,0.34852487775206537,0.5206993931104754,0.5150531164770665,0.03323,0.04506100595581489
16,0.52829,0.5558481664836353,0.24865328192040337,0.5171537293767606,0.5031432266587763,0.03141,0.04612464983450492
16,0.51989,0.5218200771145177,0.24469960578015576,0.4821725602341171,0.4654412971805876,0.07349,0.04802434691661392
19,0.50884,0.5208642027693047,0.20794016693279138,0.4821632472253415,0.4658183794218785,0.05143,0.0428724681670827
26,0.48962000000000006,0.4909839680437074,0.1438904874803824,0.458127829495699,0.441061185230903,0.05045,0.03167807718482817
28,0.46984000000000004,0.470470965041592,0.12566465634533117,0.43639665142424916,0.4258623532910105,0.04557,0.033000924524420716
26,0.42310000000000003,0.4558691834614934,0.1243414591988681,0.39411154794942954,0.3767390767120373,0.05621,0.06890473640960859
22,0.43182000000000004,0.4420013634488639,0.15321286579713195,0.38017182356293827,0.377245710299821,0.07267,0.07397458319798374
23,0.40590000000000004,0.425553536269149,0.13739048198323017,0.368609383753133,0.36428752558326843,0.05613,0.07069166230010453
29,0.38039,0.3678212978477496,0.09705934680867126,0.36330977874926795,0.34192864745396057,0.04863,0.005307719735069955
24,0.3497,0.36468006807448616,0.11292194265855199,0.3235182789491591,0.31094495253947757,0.05958,0.05794707722989345
35,0.33364,0.3085765122525677,0.06417369747559551,0.2991631385715447,0.2952027209824206,0.0513,0.011644466108052585
39,0.28959,0.28981076528481836,0.04613632125148414,0.2576628978961375,0.25158919717812606,0.05657,0.04401640530269572
39,0.28959,0.2980232333116595,0.04613632125148414,0.26155331826551814,0.2525096271619475,0.05508,0.04993409182069255
30,0.28604,0.29707066877921606,0.06962739630419032,0.24539791161232785,0.2456278878420876,0.0689,0.07958987644348665
30,0.29052,0.29883850678875346,0.0707179106918381,0.26925974336453357,0.257691532568372,0.05392,0.04485666100402796
35,0.24331,0.25175448422023294,0.04679925168680957,0.2197935415338378,0.21279084238160192,0.05626,0.05421407049528095
35,0.24331,0.25524935277356425,0.04679925168680957,0.21673119764282325,0.20866983193714975,0.06464,0.06533680805651133
42,0.24333,0.2498884311388233,0.033658161987525095,0.23846546972025523,0.21257724122640764,0.05287,0.01816006308850507
35,0.2112,0.21970917182766392,0.040623081485570596,0.20056456573494003,0.18793854975605218,0.04887,0.03741148227918933
43,0.20751999999999998,0.22329699540292341,0.027384184470503014,0.18955790852155108,0.18321191367570966,0.04832,0.06243268314373165
43,0.20751999999999998,0.22052395081783405,0.027384184470503014,0.1863048898934368,0.18139473301260367,0.05223,0.06332085381209478
15,0.51372,0.5318373895016785,0.25345634441742104,0.4781996033185417,0.4860202795720685,0.03751,0.06869672994112189
25,0.38259,0.41361931346102704,0.11785864286238176,0.3493444926094003,0.34136180565414215,0.05643,0.08093087466301929
17,0.59761,0.61082172980252,0.2683396040880269,0.600280280442716,0.579852047845392,0.01848,0.010671522544672981
10,0.55284,0.5540419015544457,0.3451839442411427,0.5447924463818392,0.5367290141529528,0.02692,0.014847396156760726
22,0.47840000000000005,0.49710123446000065,0.16973978740527979,0.46539772605497615,0.45851282318299963,0.0222,0.03423776600868231
25,0.46612000000000003,0.4867419831668747,0.1435904509030905,0.46214968294780606,0.45119799319797427,0.01579,0.02541606940917268
29,0.47074,0.48220402592264827,0.1201128234620098,0.44878849786017283,0.44759822671189775,0.02276,0.031767387411716023
24,0.44079,0.45842324920982125,0.14233589678142158,0.4219710042731793,0.424034062375765,0.01926,0.040712284338457076
21,0.43016,0.4336784640434735,0.15998431035441193,0.43249485615005084,0.4124719889224534,0.02257,0.0014602940960075298
21,0.43016,0.45615194002039816,0.15998431035441193,0.415559958912062,0.4134586135363194,0.02127,0.05008096911752011
